"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 1","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 1","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 10","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 10","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 2","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 2","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 3","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 3","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 4","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 4","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 5","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 5","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 6","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 6","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 7","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 7","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 8","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 8","Season peak week",-1.55059741241117,1,11,0.212121212121212,"."
"HHS Region 9","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"HHS Region 9","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"US National","Season onset",-2.42774823594805,1,11,0.0882352941176471,"."
"US National","Season peak week",-2.39789527279837,1,11,0.0909090909090909,"."
"HHS Region 1","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 10","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 2","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 3","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 4","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 5","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 6","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 7","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 8","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"HHS Region 9","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"US National","Season peak percentage",-3.77658503453304,1,11,0.0229007633587786,"."
"US National","1 wk ahead",-0.931500004979674,1,11,0.393962321495311,"."
"HHS Region 1","1 wk ahead",-1.68753958277605,1,11,0.184974077974891,"."
"HHS Region 2","1 wk ahead",-1.70769282290861,1,11,0.181283563781176,"."
"HHS Region 3","1 wk ahead",-1.76573076098893,1,11,0.171061735556293,"."
"HHS Region 4","1 wk ahead",-1.49892100780313,1,11,0.223371045783606,"."
"HHS Region 5","1 wk ahead",-1.45630502445554,1,11,0.233095969382674,"."
"HHS Region 6","1 wk ahead",-2.22060715603352,1,11,0.108543186163936,"."
"HHS Region 7","1 wk ahead",-2.51971988797636,1,11,0.0804821476096355,"."
"HHS Region 8","1 wk ahead",-1.70182420529404,1,11,0.18235057557654,"."
"HHS Region 9","1 wk ahead",-2.20422358637861,1,11,0.110336158553206,"."
"HHS Region 10","1 wk ahead",-2.01393866088969,1,11,0.133461976639581,"."
"US National","2 wk ahead",-1.32078345298943,1,11,0.266926095977173,"."
"HHS Region 1","2 wk ahead",-2.2178580302386,1,11,0.108841995581028,"."
"HHS Region 2","2 wk ahead",-2.61978077270124,1,11,0.0728188249519977,"."
"HHS Region 3","2 wk ahead",-2.04537765843129,1,11,0.129331337683106,"."
"HHS Region 4","2 wk ahead",-1.76122520645151,1,11,0.171834202424151,"."
"HHS Region 5","2 wk ahead",-1.71810958878485,1,11,0.179404976727752,"."
"HHS Region 6","2 wk ahead",-2.5121462578165,1,11,0.0810940036912767,"."
"HHS Region 7","2 wk ahead",-2.53022989209324,1,11,0.079640709411822,"."
"HHS Region 8","2 wk ahead",-2.08590096772588,1,11,0.124195173899972,"."
"HHS Region 9","2 wk ahead",-1.98663920391652,1,11,0.137155603745564,"."
"HHS Region 10","2 wk ahead",-2.17180948654604,1,11,0.113971200859033,"."
"US National","3 wk ahead",-1.41630858416285,1,11,0.242607932739539,"."
"HHS Region 1","3 wk ahead",-2.19338066216572,1,11,0.111539034720845,"."
"HHS Region 2","3 wk ahead",-2.75069250774303,1,11,0.0638836059931345,"."
"HHS Region 3","3 wk ahead",-2.40555694821429,1,11,0.0902152364003796,"."
"HHS Region 4","3 wk ahead",-1.95294929406789,1,11,0.141855081677106,"."
"HHS Region 5","3 wk ahead",-1.88241210032053,1,11,0.152222486659191,"."
"HHS Region 6","3 wk ahead",-2.18694510502229,1,11,0.112259165287788,"."
"HHS Region 7","3 wk ahead",-2.52532958517167,1,11,0.0800319311017018,"."
"HHS Region 8","3 wk ahead",-1.93753531460316,1,11,0.144058571640334,"."
"HHS Region 9","3 wk ahead",-2.59299065752134,1,11,0.0747960159948332,"."
"HHS Region 10","3 wk ahead",-2.26235914706995,1,11,0.104104596771408,"."
"US National","4 wk ahead",-1.66785186688986,1,11,0.18865188003527,"."
"HHS Region 1","4 wk ahead",-2.06703978048718,1,11,0.126559872740898,"."
