"location","target","score","forecast_week","competition_week","skill","model"
"HHS Region 9","3 wk ahead",-1.847654633437,10,20,0.157606377904976,"ARLR_Gaussker"
"HHS Region 10","3 wk ahead",-2.54944013117869,10,20,0.0781253937312174,"ARLR_Gaussker"
"US National","4 wk ahead",-6.8107865392644,10,20,0.00110182592969309,"ARLR_Gaussker"
"HHS Region 1","4 wk ahead",-2.64323367771948,10,20,0.0711308829078306,"ARLR_Gaussker"
"HHS Region 2","4 wk ahead",-10,10,20,4.53999297624849e-05,"ARLR_Gaussker"
"HHS Region 3","4 wk ahead",-4.90006559634823,10,20,0.00744609461828861,"ARLR_Gaussker"
"HHS Region 4","4 wk ahead",-7.05279526456469,10,20,0.00086498770538194,"ARLR_Gaussker"
"HHS Region 5","4 wk ahead",-3.33800112895346,10,20,0.0355078624714835,"ARLR_Gaussker"
"HHS Region 6","4 wk ahead",-7.00902390811619,10,20,0.000903690242749708,"ARLR_Gaussker"
"HHS Region 7","4 wk ahead",-3.55571799603562,10,20,0.0285608609677469,"ARLR_Gaussker"
"HHS Region 8","4 wk ahead",-2.53472138303748,10,20,0.0792838060009244,"ARLR_Gaussker"
"HHS Region 9","4 wk ahead",-1.99702641054757,10,20,0.13573831373403,"ARLR_Gaussker"
"HHS Region 10","4 wk ahead",-2.50721526094715,10,20,0.0814948654814807,"ARLR_Gaussker"
"HHS Region 1","Season onset",-2.42774823594805,11,21,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 1","Season peak week",-2.39789527279837,11,21,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 10","Season onset",-2.42774823594805,11,21,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 10","Season peak week",-2.39789527279837,11,21,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 2","Season onset",-2.42774823594805,11,21,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 2","Season peak week",-2.39789527279837,11,21,0.0909090909090909,"ARLR_Gaussker"
"HHS Region 3","Season onset",-2.42774823594805,11,21,0.0882352941176471,"ARLR_Gaussker"
"HHS Region 3","Season peak week",-2.39789527279837,11,21,0.0909090909090909,"ARLR_Gaussker"
