,date,hhs,flu,cough,fever,influenza,cold,isPartial,st_fips,cty_fips,pops,hhs_pops,hhs_pops_wt
0,2014-11-23,1,7.4352995273900895,8.18844785425337,8.696843983088192,0.950770566483619,36.72440165254681,0.0,184,2097857,15240476,15240476.0,0.9999999999999999
1,2014-11-23,2,8.688236946908146,9.0,11.623526106183707,0.6882369469081462,38.376473893816296,0.0,70,2950285,28443874,28443874.0,1.0
2,2014-11-23,3,7.5841709518903695,8.019482055719863,9.655719051839974,1.3398167429546204,33.5206083318136,0.0,192,11239443,27115465,27115465.0,1.0
3,2014-11-23,4,9.938687067778526,8.114820251073679,10.90330788118421,0.7010492503560487,31.307293680102063,0.0,204,18065981,62346798,62346798.0,1.0
4,2014-11-23,5,6.317730387201841,5.973458720105624,7.491402468468819,1.190247016289541,23.094592598228104,0.0,182,15335189,51945724,51945724.0,1.0
5,2014-11-23,6,13.006358954667235,10.24144131372459,14.386998452817654,1.2641069230701585,35.65837404873603,0.0,150,18097145,39459473,39459473.0,1.0
6,2014-11-23,7,7.981138726105389,8.512266110759276,10.37504822982758,1.4219604225868463,30.319581542965462,0.0,99,10212502,13521197,13521197.0,1.0
7,2014-11-23,8,11.097184667558789,10.156058954227309,11.125570444090194,2.1018559060439115,43.00376241225821,0.0,227,10190320,11533558,11533558.0,1.0
8,2014-11-23,9,11.586144589769239,12.727384047833864,14.919225433023328,1.0,50.961672302018535,0.0,57,998861,48640855,48640855.0,1.0
9,2014-11-23,10,10.564944589656777,8.321733240779526,9.380364980882579,0.4188235880514131,36.184864647676676,0.0,112,4314205,13121016,13121016.0,1.0
10,2014-11-30,1,9.97876785475729,8.81026616229047,9.233157809506737,1.5003124574324318,36.66925494977978,0.0,184,2097857,15240476,15240476.0,0.9999999999999999
11,2014-11-30,2,12.688236946908145,9.311763053091854,11.688236946908145,1.0,38.68823694690815,0.0,70,2950285,28443874,28443874.0,1.0
12,2014-11-30,3,9.875601358855548,7.913185593534907,10.06425812723477,1.3986624238234528,34.18725428459368,0.0,192,11239443,27115465,27115465.0,1.0
13,2014-11-30,4,13.872726086109505,8.58639430047394,12.048643219816997,1.4613246216750377,31.10039274190152,0.0,204,18065981,62346798,62346798.0,1.0
14,2014-11-30,5,9.090412889422813,6.73739817352435,7.916861915333011,1.2294207700329676,24.82715056584831,0.0,182,15335189,51945724,51945724.0,1.0
15,2014-11-30,6,17.15253102848079,11.39984738265511,14.516476765921329,2.0,36.59677454384654,0.0,150,18097145,39459473,39459473.0,1.0
16,2014-11-30,7,13.25742676480492,8.583610533889862,10.69761331041919,2.630522726649127,33.314210568783224,0.0,99,10212502,13521197,13521197.0,1.0
17,2014-11-30,8,14.724803048634257,8.826309799629914,11.910048573042248,2.8519460343460366,48.07406664968434,0.0,227,10190320,11533558,11533558.0,1.0
18,2014-11-30,9,16.50531021710042,13.695497807347342,16.508617806985505,1.8653159160134005,51.868677616789434,0.0,57,998861,48640855,48640855.0,1.0
19,2014-11-30,10,12.813416887838565,9.620603922745007,12.686550264095402,1.1669779992646911,45.92716166187131,0.0,112,4314205,13121016,13121016.0,1.0
