date,flu,cough,fever,influenza,cold,isPartial,state
2014-11-16,10,7,11,2,39,False,Alabama
2014-11-23,10,6,12,2,24,False,Alabama
2014-11-30,13,9,11,1,23,False,Alabama
2014-12-07,12,7,13,1,26,False,Alabama
2014-12-14,27,10,13,1,26,False,Alabama
2014-12-21,32,12,14,2,26,False,Alabama
2014-12-28,26,8,10,1,27,False,Alabama
2015-01-04,21,9,9,1,43,False,Alabama
2015-01-11,18,7,10,1,28,False,Alabama
2015-01-18,16,6,10,2,23,False,Alabama
2015-01-25,18,6,11,1,23,False,Alabama
2015-02-01,14,8,12,1,22,False,Alabama
2015-02-08,14,10,10,0,27,False,Alabama
2015-02-15,14,8,12,1,40,False,Alabama
2015-02-22,12,6,13,1,25,False,Alabama
2015-03-01,15,9,11,1,25,False,Alabama
2015-03-08,8,7,12,1,22,False,Alabama
2015-03-15,8,5,12,0,21,False,Alabama
2015-03-22,5,5,10,1,22,False,Alabama
2015-03-29,5,7,10,1,22,False,Alabama
2015-04-05,3,4,12,0,21,False,Alabama
2015-04-12,3,5,10,1,24,False,Alabama
2015-04-19,3,5,10,2,19,False,Alabama
2015-04-26,4,6,12,1,23,False,Alabama
2015-05-03,3,7,10,1,22,False,Alabama
2015-05-10,3,5,12,1,21,False,Alabama
2015-05-17,3,5,10,0,18,False,Alabama
2015-05-24,1,5,11,0,17,False,Alabama
2015-05-31,3,5,8,0,15,False,Alabama
2015-06-07,3,6,10,1,19,False,Alabama
2015-06-14,3,4,9,1,18,False,Alabama
2015-06-21,2,5,8,1,17,False,Alabama
2015-06-28,2,4,8,1,15,False,Alabama
2015-07-05,2,3,11,1,16,False,Alabama
2015-07-12,2,4,8,0,16,False,Alabama
2015-07-19,3,4,8,1,16,False,Alabama
2015-07-26,3,4,9,0,18,False,Alabama
2015-08-02,1,3,8,1,16,False,Alabama
2015-08-09,2,5,9,0,19,False,Alabama
2015-08-16,3,3,9,0,19,False,Alabama
2015-08-23,2,4,9,0,19,False,Alabama
2015-08-30,3,7,10,1,20,False,Alabama
2015-09-06,5,6,11,0,18,False,Alabama
2015-09-13,7,5,9,1,19,False,Alabama
2015-09-20,9,5,11,1,20,False,Alabama
2015-09-27,10,5,10,1,21,False,Alabama
2015-10-04,9,5,9,1,20,False,Alabama
2015-10-11,10,7,12,0,19,False,Alabama
2015-10-18,12,7,10,1,25,False,Alabama
2015-10-25,10,6,11,1,21,False,Alabama
2015-11-01,11,6,8,0,26,False,Alabama
2015-11-08,8,8,9,1,22,False,Alabama
2015-11-15,8,7,10,1,25,False,Alabama
2015-11-22,7,6,10,0,29,False,Alabama
2015-11-29,7,6,11,1,26,False,Alabama
2015-12-06,5,8,13,1,26,False,Alabama
2015-12-13,5,11,15,1,25,False,Alabama
2015-12-20,6,9,11,0,24,False,Alabama
2015-12-27,6,11,10,0,28,False,Alabama
2016-01-03,5,7,11,0,30,False,Alabama
2016-01-10,5,7,11,0,30,False,Alabama
2016-01-17,5,8,9,0,35,False,Alabama
2016-01-24,6,9,10,0,27,False,Alabama
2016-01-31,5,8,12,0,23,False,Alabama
2016-02-07,7,8,11,1,31,False,Alabama
2016-02-14,7,8,12,0,22,False,Alabama
2016-02-21,9,8,11,0,23,False,Alabama
2016-02-28,9,7,11,0,23,False,Alabama
2016-03-06,11,7,14,1,20,False,Alabama
2016-03-13,6,7,12,1,23,False,Alabama
2016-03-20,8,7,11,0,23,False,Alabama
2016-03-27,6,7,11,0,22,False,Alabama
2016-04-03,5,8,11,1,24,False,Alabama
2016-04-10,6,7,10,1,23,False,Alabama
2016-04-17,6,7,11,0,22,False,Alabama
2016-04-24,6,6,9,1,22,False,Alabama
2016-05-01,5,5,9,0,23,False,Alabama
2016-05-08,4,6,10,0,23,False,Alabama
2016-05-15,4,6,10,0,22,False,Alabama
2016-05-22,9,5,10,0,18,False,Alabama
2016-05-29,5,5,10,0,20,False,Alabama
2016-06-05,3,5,10,0,19,False,Alabama
2016-06-12,3,6,9,0,18,False,Alabama
2016-06-19,3,5,10,0,21,False,Alabama
2016-06-26,2,5,9,0,19,False,Alabama
2016-07-03,2,5,8,0,22,False,Alabama
2016-07-10,2,3,9,0,18,False,Alabama
2016-07-17,2,5,10,1,20,False,Alabama
2016-07-24,2,4,8,0,21,False,Alabama
2016-07-31,1,4,10,1,18,False,Alabama
2016-08-07,2,4,9,0,17,False,Alabama
2016-08-14,2,3,9,0,23,False,Alabama
2016-08-21,2,6,10,0,21,False,Alabama
2016-08-28,5,5,11,0,22,False,Alabama
2016-09-04,5,8,10,0,24,False,Alabama
2016-09-11,7,5,11,0,22,False,Alabama
2016-09-18,7,5,8,0,23,False,Alabama
2016-09-25,8,6,11,0,22,False,Alabama
2016-10-02,10,6,9,0,21,False,Alabama
2016-10-09,10,4,10,1,20,False,Alabama
2016-10-16,8,7,10,0,24,False,Alabama
2016-10-23,8,6,12,1,23,False,Alabama
2016-10-30,8,4,11,1,21,False,Alabama
2016-11-06,8,7,9,0,21,False,Alabama
2016-11-13,9,6,9,1,27,False,Alabama
2016-11-20,6,10,11,0,32,False,Alabama
2016-11-27,7,8,11,0,26,False,Alabama
2016-12-04,7,7,10,1,36,False,Alabama
2016-12-11,8,8,12,1,35,False,Alabama
2016-12-18,9,9,14,1,35,False,Alabama
