date,hhs,flu,cough,fever,influenza,cold,isPartial,st_fips,cty_fips,pops,hhs_pops,hhs_pops_wt,nat_pops_wt,nat_pops
2014-11-23,55,9.523215657607633,8.925391612269909,11.173199922550914,1.0386994300218664,35.25848796054587,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2014-11-30,55,13.21510434346017,9.503540124407474,11.98834090235145,1.59820033909924,36.578942369097426,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2014-12-07,55,14.990265400568735,10.136071489918137,12.773441194276995,1.991556244320153,36.99475220731751,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2014-12-14,55,19.611686272528917,10.867426899366254,13.662137462128626,2.785717435405045,37.418593710635456,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2014-12-21,55,23.62403256892744,13.306685906338945,15.676230833493989,2.7495190456620335,38.534569769300575,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2014-12-28,55,26.813577760977676,13.277828077602575,14.25940275140798,3.1014848531403483,47.09313388785496,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-01-04,55,24.0154519098397,11.650698752907632,13.582491842557864,2.7498613250573674,55.59732503200806,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-01-11,55,20.10501813356573,10.670830366376636,13.18138320224597,2.3947749507917364,40.14722251744233,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-01-18,55,18.20671940555978,10.928398085925446,14.204369115949824,2.176726946722371,36.588270141807186,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-01-25,55,16.025048370670433,10.810652294248607,13.966678240950538,2.3385815189051464,37.33439473293304,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-02-01,55,13.56922922335005,10.227692154383947,14.542967235766953,1.6084188796837453,37.31105304777906,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-02-08,55,12.092871545913535,9.966921685665016,13.45160198254649,1.5418142062415088,36.73260807335012,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-02-15,55,11.379851909587906,9.861953769135416,12.92205750424876,1.3253164010497198,48.04877593308784,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-02-22,55,9.910612471329623,9.118086102343398,14.257096483601183,1.301342240097837,39.606518214967686,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-03-01,55,9.948528347298504,8.874188962429063,13.3074702343946,1.2126182693739707,36.29038847405843,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-03-08,55,9.131108170514754,9.152433113033975,15.770585124434383,1.2922399398248576,32.819015903718636,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-03-15,55,8.066048923468916,8.866842983403751,15.28433290842621,1.240810047939477,32.330312080830176,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-03-22,55,7.177768189065895,8.87041672072374,14.074862912565742,1.2613499494213343,32.998765870410836,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-03-29,55,6.8381308245386805,8.346689174364482,14.147102171268251,1.1624236921689777,32.89550215038496,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-04-05,55,7.377960096122266,8.411659067459233,13.233725148685268,1.2102737125223573,32.668031315801066,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-04-12,55,7.798380999029714,8.261924060279508,12.979315822493964,1.2052352377811346,32.72778708372354,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-04-19,55,7.227689446980425,7.780969108891949,12.47058179654408,1.0933376850054257,33.026031916093125,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-04-26,55,5.795336952522702,7.580430821189595,12.357718089318467,1.0713740457623007,32.502738292972,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-05-03,55,5.186536624412373,7.339073649713165,12.341368795647611,1.0155772500973734,32.89493182924939,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-05-10,55,4.953765554450741,7.1745242925008625,11.862197496473277,0.7960082248028506,32.88856463280048,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-05-17,55,5.383702132864874,7.116325291237934,12.060220391125322,0.7471658334693886,32.74009472173987,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-05-24,55,5.081758499117745,6.8320093177331565,13.19049416749487,0.5406793577496725,31.404603361915594,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-05-31,55,4.2595245685082865,6.5873662961778185,11.468634094304921,0.4863158480199965,29.630643059144248,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
2015-06-07,55,4.375302231983462,6.4297291424876475,11.624945888863314,0.5539421182691747,29.099121829420117,0.0,1477,93501788,311368436,311368436.0,10.0,1.0000000000000002,41022287.678609915
