date,flu,cough,fever,influenza,cold,isPartial,state
2014-12-14,25,8,15,2,25,False,Alabama
2014-12-21,34,14,17,2,28,False,Alabama
2014-12-28,30,10,12,1,29,False,Alabama
2015-01-04,21,8,9,1,46,False,Alabama
2015-01-11,19,7,9,1,25,False,Alabama
2015-01-18,16,8,11,2,29,False,Alabama
2015-01-25,17,6,11,1,24,False,Alabama
2015-02-01,16,8,12,1,28,False,Alabama
2015-02-08,14,9,10,1,28,False,Alabama
2015-02-15,16,9,10,1,36,False,Alabama
2015-02-22,14,8,13,1,26,False,Alabama
2015-03-01,14,9,12,1,25,False,Alabama
2015-03-08,8,7,12,1,23,False,Alabama
2015-03-15,6,7,14,1,22,False,Alabama
2015-03-22,4,6,10,2,21,False,Alabama
2015-03-29,4,6,11,1,22,False,Alabama
2015-04-05,3,5,11,1,22,False,Alabama
2015-04-12,3,5,9,1,24,False,Alabama
2015-04-19,4,6,10,1,22,False,Alabama
2015-04-26,4,5,11,1,24,False,Alabama
2015-05-03,3,7,12,0,23,False,Alabama
2015-05-10,2,6,12,0,22,False,Alabama
2015-05-17,3,5,12,0,20,False,Alabama
2015-05-24,3,6,11,0,17,False,Alabama
2015-05-31,3,6,9,1,17,False,Alabama
2015-06-07,3,4,9,1,16,False,Alabama
2015-06-14,2,3,9,1,21,False,Alabama
2015-06-21,2,4,8,1,17,False,Alabama
2015-06-28,2,4,7,1,15,False,Alabama
2015-07-05,2,4,9,0,14,False,Alabama
2015-07-12,2,3,10,1,19,False,Alabama
2015-07-19,3,4,7,0,20,False,Alabama
2015-07-26,2,5,8,0,20,False,Alabama
2015-08-02,2,3,7,1,19,False,Alabama
2015-08-09,3,3,10,0,20,False,Alabama
2015-08-16,3,4,10,0,18,False,Alabama
2015-08-23,3,4,9,0,20,False,Alabama
2015-08-30,4,6,10,1,19,False,Alabama
2015-09-06,4,6,12,1,19,False,Alabama
2015-09-13,5,5,10,1,19,False,Alabama
2015-09-20,9,5,10,1,22,False,Alabama
2015-09-27,9,3,9,1,20,False,Alabama
2015-10-04,12,5,9,1,21,False,Alabama
2015-10-11,9,7,12,1,20,False,Alabama
2015-10-18,12,8,10,1,23,False,Alabama
2015-10-25,10,7,10,1,22,False,Alabama
2015-11-01,9,7,11,1,26,False,Alabama
2015-11-08,7,7,12,1,23,False,Alabama
2015-11-15,6,8,10,1,27,False,Alabama
2015-11-22,8,7,12,1,30,False,Alabama
2015-11-29,7,5,11,1,27,False,Alabama
2015-12-06,5,8,12,0,26,False,Alabama
2015-12-13,5,9,12,0,24,False,Alabama
2015-12-20,8,9,13,0,25,False,Alabama
2015-12-27,5,9,13,0,27,False,Alabama
2016-01-03,6,7,9,0,30,False,Alabama
2016-01-10,5,7,12,1,30,False,Alabama
