,date,hhs,flu,cough,fever,influenza,cold,isPartial,st_fips,cty_fips,pops,hhs_pops,hhs_pops_wt
0,2014-11-16,1,8.543305077872896,7.348465362892864,8.783809508311945,1.0196859993086829,42.20537934641936,0.0,184,2097857,15240476,15240476.0,0.9999999999999999
1,2014-11-16,2,10.623526106183707,8.311763053091854,11.376473893816291,1.0,52.68823694690815,0.0,70,2950285,28443874,28443874.0,1.0
2,2014-11-16,3,9.15138718808621,7.205698334880113,9.662271474968252,1.1361136901026776,46.848639069991975,0.0,192,11239443,27115465,27115465.0,1.0
3,2014-11-16,4,10.633625579295988,8.178610391507195,10.621312324652182,1.1730710853827648,44.07981325680912,0.0,204,18065981,62346798,62346798.0,1.0
4,2014-11-16,5,6.134498327523551,5.822282792708791,6.472898404496201,1.0,31.78498089659892,0.0,182,15335189,51945724,51945724.0,1.0
5,2014-11-16,6,13.58032115634185,10.208470625038505,14.111866192434956,1.0747558894159583,49.55580628256236,0.0,150,18097145,39459473,39459473.0,1.0
6,2014-11-16,7,8.715357449492082,6.8055631465172794,9.498240651326949,1.559178303518542,42.737923277058975,0.0,99,10212502,13521197,13521197.0,1.0
7,2014-11-16,8,12.77695685927968,7.829272111866954,11.16418021221205,1.8480231338846176,49.164990716654835,0.0,227,10190320,11533558,11533558.0,1.0
8,2014-11-16,9,14.567369097438768,11.97632292853405,14.565661191605287,1.168164313723515,60.7232399389361,0.0,57,998861,48640855,48640855.0,1.0
9,2014-11-16,10,11.189840558078735,6.970175632740635,10.356818557343427,1.288583673703317,52.93809526640315,0.0,112,4314205,13121016,13121016.0,1.0
10,2014-11-23,1,6.723215009819903,8.29463771341525,9.381587294255114,0.4739009464008867,36.96362921997974,0.0,184,2097857,15240476,15240476.0,0.9999999999999999
11,2014-11-23,2,9.06471084072444,10.0,11.0,1.0,41.31176305309185,0.0,70,2950285,28443874,28443874.0,1.0
12,2014-11-23,3,7.398890227403439,8.956479042494754,9.874324227889877,1.0183705129157845,34.02154855172132,0.0,192,11239443,27115465,27115465.0,1.0
13,2014-11-23,4,10.173406724111157,8.442291166260054,10.851491972370418,1.007021980503313,31.532704005103838,0.0,204,18065981,62346798,62346798.0,1.0
14,2014-11-23,5,6.134498327523551,5.592964687526543,7.078646973906843,1.1258579435720253,23.898483116723913,0.0,182,15335189,51945724,51945724.0,1.0
15,2014-11-23,6,12.898535568379232,9.667311040874772,14.278551616743588,1.1585028771164785,36.665074543697024,0.0,150,18097145,39459473,39459473.0,1.0
16,2014-11-23,7,7.8250595712790805,8.336690531171167,10.522572890551036,1.6493840005437388,30.566983529638684,0.0,99,10212502,13521197,13521197.0,1.0
17,2014-11-23,8,10.882383302706764,9.839228796525754,10.352234236824405,1.6762889647756571,38.70729396774178,0.0,227,10190320,11533558,11533558.0,1.0
18,2014-11-23,9,11.39430320457977,13.648203470107587,15.00005980569215,0.9714213493985663,51.72979531301414,0.0,57,998861,48640855,48640855.0,1.0
