date,flu,cough,fever,influenza,cold,isPartial,state
2017-01-08,11,8,12,0,35,False,Alabama
2017-01-15,10,9,10,0,23,False,Alabama
2017-01-22,10,7,11,0,24,False,Alabama
2017-01-29,16,8,14,1,28,False,Alabama
2017-02-05,21,9,12,1,28,False,Alabama
2017-02-12,22,10,13,1,28,False,Alabama
2017-02-19,21,9,14,1,24,False,Alabama
2017-02-26,13,9,12,1,24,False,Alabama
2017-03-05,13,9,12,1,23,False,Alabama
2017-03-12,14,6,13,2,30,False,Alabama
2017-03-19,13,8,13,1,26,False,Alabama
2017-03-26,12,8,13,1,20,False,Alabama
2017-04-02,6,6,11,1,19,False,Alabama
2017-04-09,4,5,11,1,24,False,Alabama
2017-04-16,5,6,9,0,23,False,Alabama
2017-04-23,4,5,9,0,22,False,Alabama
2017-04-30,4,7,10,1,25,False,Alabama
2017-05-07,3,8,9,0,21,False,Alabama
2017-05-14,3,5,11,0,23,False,Alabama
2017-05-21,3,6,9,0,20,False,Alabama
2017-05-28,4,5,11,0,21,False,Alabama
2017-06-04,3,5,10,0,21,False,Alabama
2017-06-11,3,5,10,0,20,False,Alabama
2017-06-18,2,6,9,0,19,False,Alabama
2017-06-25,2,6,11,0,21,False,Alabama
2017-07-02,2,4,10,0,20,False,Alabama
2017-07-09,2,4,10,0,20,False,Alabama
2017-07-16,2,5,9,1,23,False,Alabama
2017-07-23,3,5,8,0,22,False,Alabama
2017-07-30,2,5,9,0,21,False,Alabama
2017-08-06,3,5,10,0,21,False,Alabama
2017-08-13,3,7,8,0,22,False,Alabama
2017-08-20,4,7,10,1,21,False,Alabama
2017-08-27,5,5,12,1,20,False,Alabama
2017-09-03,5,8,9,0,22,False,Alabama
2017-09-10,7,6,10,0,19,False,Alabama
2017-09-17,7,7,10,1,22,False,Alabama
2017-09-24,11,7,12,1,23,False,Alabama
2017-10-01,10,6,11,1,20,False,Alabama
2017-10-08,10,6,10,0,19,False,Alabama
2017-10-15,12,7,10,1,22,False,Alabama
2017-10-22,10,8,11,1,27,False,Alabama
2017-10-29,10,7,11,1,27,False,Alabama
2017-11-05,10,10,11,0,26,False,Alabama
2017-11-12,9,10,10,0,29,False,Alabama
2017-11-19,8,8,11,1,31,False,Alabama
2017-11-26,10,8,12,0,29,False,Alabama
2017-12-03,10,10,11,0,40,False,Alabama
2017-12-10,12,11,12,1,37,False,Alabama
2017-12-17,32,14,18,1,32,False,Alabama
2017-12-24,31,14,16,1,44,False,Alabama
2017-12-31,37,14,14,2,70,False,Alabama
2018-01-07,82,13,18,2,36,False,Alabama
2018-01-14,100,14,17,2,48,False,Alabama
2018-01-21,95,13,19,3,29,False,Alabama
2018-01-28,89,11,19,3,31,False,Alabama
2018-02-04,79,10,18,2,29,False,Alabama
2018-02-11,56,10,14,1,25,False,Alabama
2018-02-18,27,9,13,1,23,False,Alabama
2018-02-25,15,8,10,1,21,False,Alabama
2018-03-04,10,7,11,1,28,False,Alabama
2018-03-11,9,8,12,1,27,False,Alabama
2018-03-18,7,8,10,0,23,False,Alabama
2018-03-25,7,9,10,1,25,False,Alabama
2018-04-01,5,7,8,1,26,False,Alabama
2018-04-08,4,8,11,0,25,False,Alabama
2018-04-15,5,7,11,0,26,False,Alabama
2018-04-22,6,7,11,0,22,False,Alabama
2018-04-29,4,7,9,0,23,False,Alabama
2018-05-06,4,8,9,0,25,False,Alabama
2018-05-13,3,6,11,0,22,False,Alabama
2018-05-20,2,5,10,0,20,False,Alabama
2018-05-27,3,7,9,0,17,False,Alabama
2018-06-03,2,6,11,0,21,False,Alabama
2018-06-10,3,6,10,0,22,False,Alabama
2018-06-17,3,5,11,0,18,False,Alabama
2018-06-24,2,4,10,0,22,False,Alabama
2018-07-01,3,6,10,1,20,False,Alabama
2018-07-08,2,5,9,0,19,False,Alabama
2018-07-15,3,5,10,0,20,False,Alabama
2018-07-22,1,5,10,0,19,False,Alabama
2018-07-29,3,7,10,0,19,False,Alabama
2018-08-05,2,8,12,0,20,False,Alabama
2018-08-12,3,6,9,0,21,False,Alabama
2018-08-19,4,8,9,0,22,False,Alabama
2018-08-26,7,6,9,0,24,False,Alabama
2018-09-02,6,8,11,0,20,False,Alabama
2018-09-09,9,7,12,0,20,False,Alabama
2018-09-16,9,6,13,0,23,False,Alabama
2018-09-23,10,9,11,1,22,False,Alabama
2018-09-30,14,6,11,1,21,False,Alabama
2018-10-07,13,7,12,0,20,False,Alabama
2018-10-14,16,6,13,1,25,False,Alabama
2018-10-21,17,8,10,1,31,False,Alabama
2018-10-28,14,8,11,0,26,False,Alabama
2018-11-04,10,8,10,0,25,False,Alabama
2018-11-11,12,9,11,0,42,False,Alabama
2018-11-18,10,10,10,0,32,False,Alabama
2018-11-25,11,9,11,0,40,False,Alabama
2018-12-02,9,11,12,0,43,False,Alabama
2018-12-09,11,11,11,1,49,False,Alabama
2018-12-16,17,12,15,1,36,False,Alabama
2018-12-23,17,12,15,1,34,False,Alabama
2018-12-30,17,13,12,0,26,False,Alabama
2019-01-06,13,10,9,0,27,False,Alabama
2019-01-13,14,8,12,1,30,False,Alabama
2019-01-20,22,10,12,1,37,False,Alabama
2019-01-27,31,10,14,1,40,False,Alabama
2019-02-03,49,12,17,1,32,False,Alabama
2019-02-10,35,12,16,1,33,False,Alabama
2019-02-17,29,10,14,2,32,False,Alabama
2019-02-24,18,10,12,1,26,False,Alabama
2019-03-03,15,8,12,1,32,False,Alabama
2019-03-10,11,9,12,1,25,False,Alabama
2019-03-17,11,9,12,1,28,False,Alabama
2019-03-24,9,8,12,1,22,False,Alabama
2019-03-31,8,9,10,0,27,False,Alabama
2019-04-07,7,7,10,1,24,False,Alabama
2019-04-14,5,7,11,0,24,False,Alabama
2019-04-21,5,7,12,0,27,False,Alabama
2019-04-28,3,6,11,0,25,False,Alabama
2019-05-05,4,8,11,0,25,False,Alabama
2019-05-12,5,5,12,0,23,False,Alabama
2019-05-19,5,6,13,0,21,False,Alabama
2019-05-26,3,6,11,0,22,False,Alabama
2019-06-02,3,6,10,0,19,False,Alabama
2019-06-09,4,5,10,0,21,False,Alabama
2019-06-16,3,6,9,0,22,False,Alabama
2019-06-23,3,5,8,0,18,False,Alabama
2019-06-30,2,5,11,1,25,False,Alabama
2019-07-07,2,5,9,0,21,False,Alabama
2019-07-14,3,5,10,0,18,False,Alabama
2019-07-21,3,5,8,0,22,False,Alabama
2019-07-28,3,5,10,0,21,False,Alabama
2019-08-04,2,5,9,0,21,False,Alabama
2019-08-11,3,6,11,0,25,False,Alabama
2019-08-18,5,7,9,0,25,False,Alabama
2019-08-25,5,6,12,1,22,False,Alabama
2019-09-01,6,7,10,0,24,False,Alabama
2019-09-08,8,7,10,1,25,False,Alabama
2019-09-15,9,7,11,0,24,False,Alabama
2019-09-22,12,7,11,1,23,False,Alabama
2019-09-29,17,9,10,0,23,False,Alabama
2019-10-06,18,7,12,0,26,False,Alabama
2019-10-13,15,7,10,1,28,False,Alabama
2019-10-20,15,8,10,1,27,True,Alabama
2014-10-26,15,8,12,5,49,False,Alaska
2014-11-02,21,11,11,5,53,False,Alaska
2014-11-09,22,10,10,2,53,False,Alaska
2014-11-16,12,8,12,4,56,False,Alaska
2014-11-23,14,11,12,0,42,False,Alaska
2014-11-30,14,11,16,3,54,False,Alaska
2014-12-07,11,5,14,4,51,False,Alaska
2014-12-14,9,5,11,4,46,False,Alaska
2014-12-21,12,12,14,7,52,False,Alaska
2014-12-28,21,14,15,0,48,False,Alaska
2015-01-04,19,7,16,2,52,False,Alaska
2015-01-11,6,4,14,2,44,False,Alaska
2015-01-18,3,6,29,2,47,False,Alaska
2015-01-25,13,14,14,0,63,False,Alaska
2015-02-01,7,10,15,2,45,False,Alaska
2015-02-08,11,5,20,4,65,False,Alaska
2015-02-15,9,10,9,2,43,False,Alaska
2015-02-22,3,8,15,0,42,False,Alaska
2015-03-01,6,11,20,2,46,False,Alaska
2015-03-08,5,7,18,0,47,False,Alaska
2015-03-15,5,10,19,0,54,False,Alaska
2015-03-22,9,12,11,0,53,False,Alaska
2015-03-29,8,7,14,4,60,False,Alaska
2015-04-05,5,8,12,2,48,False,Alaska
2015-04-12,4,12,16,3,48,False,Alaska
2015-04-19,4,12,14,4,43,False,Alaska
2015-04-26,4,11,19,5,39,False,Alaska
2015-05-03,2,6,10,2,50,False,Alaska
2015-05-10,6,4,10,2,48,False,Alaska
2015-05-17,7,9,9,0,31,False,Alaska
2015-05-24,4,10,10,0,48,False,Alaska
2015-05-31,3,10,12,2,36,False,Alaska
2015-06-07,11,9,11,2,42,False,Alaska
2015-06-14,6,6,14,2,37,False,Alaska
2015-06-21,2,6,13,2,31,False,Alaska
2015-06-28,2,5,10,2,30,False,Alaska
2015-07-05,2,4,3,2,48,False,Alaska
2015-07-12,10,10,7,2,47,False,Alaska
2015-07-19,6,4,5,0,41,False,Alaska
2015-07-26,3,7,12,2,36,False,Alaska
2015-08-02,3,4,9,0,49,False,Alaska
2015-08-09,8,9,10,2,41,False,Alaska
2015-08-16,6,8,11,4,39,False,Alaska
2015-08-23,7,9,13,0,42,False,Alaska
2015-08-30,11,9,8,0,38,False,Alaska
2015-09-06,10,6,6,3,48,False,Alaska
2015-09-13,7,6,8,5,40,False,Alaska
2015-09-20,12,8,7,4,50,False,Alaska
2015-09-27,10,5,6,4,40,False,Alaska
2015-10-04,12,9,9,2,57,False,Alaska
2015-10-11,10,11,9,0,60,False,Alaska
2015-10-18,9,10,13,0,41,False,Alaska
2015-10-25,13,7,10,0,41,False,Alaska
2015-11-01,14,4,14,2,55,False,Alaska
2015-11-08,10,9,10,3,53,False,Alaska
2015-11-15,4,7,14,0,73,False,Alaska
2015-11-22,13,9,14,6,45,False,Alaska
2015-11-29,7,7,21,0,49,False,Alaska
2015-12-06,9,6,20,3,60,False,Alaska
2015-12-13,10,11,20,0,45,False,Alaska
2015-12-20,8,8,9,0,54,False,Alaska
2015-12-27,9,10,19,4,44,False,Alaska
2016-01-03,10,10,16,2,50,False,Alaska
2016-01-10,9,7,17,0,42,False,Alaska
2016-01-17,7,9,15,4,55,False,Alaska
2016-01-24,10,9,15,2,50,False,Alaska
2016-01-31,5,13,17,0,45,False,Alaska
2016-02-07,11,7,20,0,48,False,Alaska
2016-02-14,5,10,14,2,45,False,Alaska
