date,flu,cough,fever,influenza,cold,isPartial,state
2014-11-30,14,7,13,1,23,False,Alabama
2014-12-07,14,7,14,1,22,False,Alabama
2014-12-14,24,11,14,2,27,False,Alabama
2014-12-21,32,13,15,1,24,False,Alabama
2014-12-28,28,8,13,1,30,False,Alabama
2015-01-04,20,8,10,1,44,False,Alabama
2015-01-11,15,8,10,1,25,False,Alabama
2015-01-18,17,7,13,1,27,False,Alabama
2015-01-25,18,6,11,1,21,False,Alabama
2015-02-01,15,8,11,1,26,False,Alabama
2015-02-08,13,9,10,1,25,False,Alabama
2015-02-15,14,9,9,1,37,False,Alabama
2015-02-22,14,7,13,1,26,False,Alabama
2015-03-01,15,9,11,1,25,False,Alabama
2015-03-08,9,8,11,1,22,False,Alabama
2015-03-15,7,7,11,1,22,False,Alabama
2015-03-22,4,6,9,1,21,False,Alabama
2015-03-29,4,5,10,1,21,False,Alabama
2015-04-05,4,6,11,1,22,False,Alabama
2015-04-12,3,7,9,1,20,False,Alabama
2015-04-19,4,6,12,1,24,False,Alabama
2015-04-26,4,5,12,1,21,False,Alabama
2015-05-03,3,6,11,1,22,False,Alabama
2015-05-10,3,5,11,1,22,False,Alabama
2015-05-17,3,5,11,1,21,False,Alabama
2015-05-24,3,4,11,1,16,False,Alabama
2015-05-31,2,5,8,0,16,False,Alabama
2015-06-07,3,4,10,1,19,False,Alabama
2015-06-14,2,4,9,1,22,False,Alabama
2015-06-21,3,5,7,1,19,False,Alabama
2015-06-28,1,4,7,0,15,False,Alabama
2015-07-05,2,4,10,0,17,False,Alabama
2015-07-12,1,4,9,0,17,False,Alabama
2015-07-19,2,5,8,0,21,False,Alabama
2015-07-26,2,5,8,0,18,False,Alabama
2015-08-02,1,3,9,0,19,False,Alabama
2015-08-09,3,4,10,0,19,False,Alabama
2015-08-16,3,4,10,0,19,False,Alabama
2015-08-23,4,4,10,1,21,False,Alabama
2015-08-30,4,7,11,0,19,False,Alabama
2015-09-06,5,6,12,1,17,False,Alabama
2015-09-13,6,5,9,1,17,False,Alabama
2015-09-20,9,5,11,1,20,False,Alabama
2015-09-27,8,5,10,1,25,False,Alabama
2015-10-04,11,6,10,1,20,False,Alabama
2015-10-11,9,7,12,1,20,False,Alabama
2015-10-18,10,8,9,1,23,False,Alabama
2015-10-25,8,7,10,1,21,False,Alabama
2015-11-01,9,8,11,0,26,False,Alabama
2015-11-08,6,8,11,1,24,False,Alabama
2015-11-15,6,8,10,1,26,False,Alabama
2015-11-22,8,8,12,1,31,False,Alabama
2015-11-29,6,5,11,1,25,False,Alabama
2015-12-06,5,8,12,0,25,False,Alabama
2015-12-13,5,10,13,0,26,False,Alabama
2015-12-20,6,10,12,0,26,False,Alabama
2015-12-27,5,8,12,0,27,False,Alabama
2016-01-03,6,7,9,0,31,False,Alabama
2016-01-10,5,7,12,1,30,False,Alabama
2016-01-17,6,7,9,1,35,False,Alabama
2016-01-24,7,9,10,0,29,False,Alabama
2016-01-31,5,7,12,0,25,False,Alabama
2016-02-07,6,7,12,0,31,False,Alabama
2016-02-14,8,8,14,1,25,False,Alabama
2016-02-21,10,8,12,1,26,False,Alabama
2016-02-28,9,8,12,1,23,False,Alabama
2016-03-06,11,6,12,1,20,False,Alabama
2016-03-13,7,8,11,1,22,False,Alabama
2016-03-20,8,7,12,0,22,False,Alabama
2016-03-27,7,7,12,1,21,False,Alabama
2016-04-03,6,6,11,1,24,False,Alabama
2016-04-10,6,7,11,1,24,False,Alabama
2016-04-17,7,7,10,1,23,False,Alabama
2016-04-24,5,6,9,1,23,False,Alabama
2016-05-01,4,5,9,1,23,False,Alabama
